ID	Barcode	Title	Authors	Publisher	Pub Date	Binding	Condition	Section	Location	Item Type Id	On Hand	Price	Cost	Cash	Credit	First In	Last In	Last Sold	Meta Tags	Keywords	User
"0785800352"	"2800785800356"	"The Complete Watercolor Artist"	"Harper, (Editor) Sally"	"CHARTWELL BOOKS INC."	"August 1997"	"Oversized Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$9.00"	"$0.00"	"$0.00"	"$0.00"	"07-08-1998"	"10-06-2014"	"10-23-2014"	""	""	"Unknown"
"0804801037"	"2800804801036"	"Chinese Painting Techniques"	"Cameron, Alison Stillwell"	"CHARLES E TUTTLE COMPANY INC"	"June 1967"	"Oversized Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"2"	"$12.50"	"$0.00"	"$0.00"	"$0.00"	"05-28-1999"	"05-08-2014"	"05-27-2013"	""	""	"Unknown"
"080480625X"	"2800804806253"	"The Way of the Brush: Painting Techniques of China and Japan"	"Van Briessen, Fritz"	"Charles Tuttle Company"	"April 1990"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$25.00"	"$0.00"	"$0.00"	"$0.00"	"05-22-1998"	"11-13-2014"	"03-13-2013"	""	""	"Unknown"
"0806913339"	"2800806913331"	"Step-by-Step Watercolor Painting: A Complete Guide to Mastering Techniques with the Alexander Brothers"	"Alexander Brothers"	"STERLING PUBLISHING COMPANY"	"August 1997"	"PaperBack"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"2"	"$7.50"	"$0.00"	"$0.00"	"$0.00"	"12-23-2008"	"07-24-2014"	"04-19-2009"	""	""	"Unknown"
"0823001008"	"2800823001004"	"Acrylic Watercolor Painting: How to Paint Transparent and Opaque Watercolors In the New Acrylic Artis's Colors"	"Blake, Wendon"	"WATSON-GUPTILL PUBLICATIONS"	"January 1950"	"Oversized Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$7.50"	"$0.00"	"$0.00"	"$0.00"	"04-01-2009"	"10-24-2014"	"01-13-2014"	""	""	"Unknown"
"0823001024"	"2800823001028"	"A Passion for Watercolor: Painting the Inner Experience"	"Draughon, Stefan"	"WATSON-GUPTILL PUBLICATIONS"	"May 2000"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$7.50"	"$0.00"	"$0.00"	"$0.00"	"02-22-2002"	"06-21-2014"	"09-15-2013"	""	""	"Unknown"
"0823004996"	"2800823004999"	"Big Book of Painting Nature In Watercolor"	"Petrie, Ferdinand"	"WATSON-GUPTILL PUBLICATIONS"	"June 1990"	"Oversized Paper Back"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$16.25"	"$0.00"	"$0.00"	"$0.00"	"07-30-2007"	"07-24-2014"	"01-09-2014"	""	""	"Unknown"
"0823006328"	"2800823006320"	"Chinese Brush Painting: A Complete Course In Traditional and Modern Techniques"	"Evans, Jane"	"Watson-Guptill Publications"	"August 1987"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$10.00"	"$0.25"	"$0.00"	"$0.00"	"04-06-2004"	"03-19-2014"	"12-24-2013"	""	""	"Unknown"
"0823007340"	"2800823007341"	"Color for the Watercolor Painter"	"Hill, Tom"	"WATSON-GUPTILL PUBLICATIONS"	"September 1982"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$9.00"	"$0.00"	"$0.00"	"$0.00"	"07-12-1998"	"04-25-2014"	"11-11-2013"	""	""	"Unknown"
"0823007383"	"2800823007389"	"Color In Contemporary Painting: Integrating Practice and Theory"	"Le Clair, Charles"	"WATSON-GUPTILL PUBLICATIONS"	"July 1991"	"Oversized Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$12.50"	"$0.00"	"$0.00"	"$0.00"	"03-28-2000"	"10-30-2014"	"11-16-2012"	""	""	"Unknown"
