ID	Barcode	Title	Authors	Condition	Section	Location	On Hand	Price	Cost	Cash	Credit	First In	Last In	Last Sold	User
"1423328426"	"2801423328423"	"How to Talk to a Widower [Cd]"	"Tropper, Jonathan,  Eric Ruben, Reader"	"Used - Good"	"AUDIOBOOKS"	" "	"1"	"$17.47"	"$0.00"	"$0.00"	"$0.00"	"07-02-2007"	"04-28-2014"	"01-01-0001"	"Unknown"
"1423349423"	"2801423349428"	"Every Move You Make [Unabridged Cd]"	"Phelps, M. William,  J. Charles, (Reader)"	"Used - Good"	"AUDIOBOOKS"	" "	"1"	"$9.95"	"$0.25"	"$0.00"	"$0.00"	"09-18-2008"	"11-05-2008"	"01-01-0001"	"Unknown"
"1590072715"	"2801590072716"	"Shrink Rap (Unabridged)"	"Parker, Robert B.,  Deborah Raffin, Performer"	"Used - Good"	"SCIENCE_FICTION"	" "	"1"	"$14.97"	"$0.25"	"$0.00"	"$0.00"	"10-16-2002"	"05-04-2007"	"01-01-0001"	"Unknown"
"160024596X"	"2801600245963"	"Robert Ludlum's The Bourne Deception"	"Van Lustabeder, Eric; (Narrator) Jeremy Davidson"	"Used - Good"	"SCIENCE_FICTION"	" "	"1"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"05-07-2009"	"07-31-2014"	"08-01-2009"	"Unknown"
"0143143069"	"2800143143064"	"Twenty Chickens for a Saddle: The Story of an African Childhood"	"Scott, Robyn"	"Used - Good"	"SCIENCE_FICTION"	" "	"1"	"$14.97"	"$0.25"	"$0.00"	"$0.00"	"04-04-2008"	"11-10-2013"	"01-01-0001"	"Unknown"
"0743520955"	"2800743520951"	"From a Buick 8 (Unabridged)"	"King, Stephen,  James Rebhorn, Bruce Davison, Becky Ann Baker, Peter Gerety, Fred Sanders And Stephen Tobolowsky, Readers"	"Used - Good"	"AUDIOBOOKS"	" "	"1"	"$24.97"	"$0.25"	"$0.00"	"$0.00"	"09-26-2002"	"12-01-2006"	"01-01-0001"	"Unknown"
"1619692651"	"9919387827"	"Hunt the Scorpion: A SEAL Team Six Novel"	"Mann, Don"	"Used - Good"	"AUDIOBOOKS"	" "	"1"	"$13.50"	"$0.25"	"$0.00"	"$0.00"	"02-17-2013"	"04-21-2013"	"10-03-2013"	"Unknown"
"0804121281"	"9921962019"	"Fangirl"	"Rowell, Rainbow; (Narrator) Rebecca Lowman; (Narrator) Maxwell Caulfield"	"Used - Good"	"FANTASY"	" "	"2"	"$30.00"	"$6.00"	"$6.00"	"$0.00"	"11-10-2013"	"11-27-2013"	"01-01-0001"	"Unknown"
"1480517275"	"9922779080"	"Every Contact Leaves A Trace"	"Dymott, Elanor"	"Used - Good"	"FANTASY"	" "	"1"	"$15.00"	"$0.25"	"$0.00"	"$0.00"	"02-05-2014"	"02-05-2014"	"01-01-0001"	"Unknown"
"1442369116"	"9923398323"	"Poached"	"Gibbs, Stuart; (Narrator) Gibson Frazier"	"Used - Good"	"FANTASY"	" "	"2"	"$15.00"	"$3.00"	"$3.00"	"$0.00"	"04-08-2014"	"04-30-2014"	"01-01-0001"	"Unknown"
"144236940X"	"9923398145"	"The Women of Duck Commander"	"Robertson, Kay; Korie Robertson; Missy Robertson; Jessica Robertson; Lisa Robertson; (Narrator) Alex Robertson Mancuso"	"Used - Good"	"AUDIOBOOKS"	" "	"1"	"$15.00"	"$3.00"	"$3.00"	"$0.00"	"04-08-2014"	"04-08-2014"	"01-01-0001"	"Unknown"
"1478928123"	"9924375726"	"Your Best Life Now: 7 Steps to Living at Your Full Potential"	"Osteen, Joel"	"Used - Good"	"AUDIOBOOKS"	" "	"2"	"$5.00"	"$0.00"	"$0.00"	"$0.00"	"07-20-2014"	"07-20-2014"	"01-01-0001"	"Unknown"
"0060786027"	"2800060786023"	"State of Fear"	"Crichton, Michael; (Narrator) John Bedford Lloyd"	"New"	"AUDIOBOOKS"	" "	"1"	"$9.00"	"$0.00"	"$0.00"	"$0.00"	"12-30-2004"	"09-09-2014"	"12-27-2013"	"Unknown"
"0060816082"	"2800060816089"	"Wedding Date (Abridged)"	"Young, Elizabeth; (Narrator) Jasmine Hyde"	"New"	"AUDIOBOOKS"	" "	"1"	"$9.47"	"$0.25"	"$0.00"	"$0.00"	"12-23-2004"	"11-14-2013"	"01-01-0001"	"Unknown"
