ID	Barcode	Title	Authors	Condition	Section	Location	On Hand	Price	Cost	Cash	Credit	First In	Last In	Last Sold	User
"0060897864"	"2800060897866"	"Stone Fox and Top Secret"	"Gardiner, John-Reynolds,  B.D. Wong, (Narrator)"	"Used - Good"	"AUDIOBOOKS-CHILDREN"	" "	"1"	"$17.95"	"$0.00"	"$0.00"	"$0.00"	"11-07-2006"	"08-29-2014"	"08-29-2014"	"Unknown"
"0061235180"	"2800061235186"	"Julie of the Wolves"	"George, Jean Craighead,  Irene Worth, Narrator"	"Used - Good"	"AUDIOBOOKS-CHILDREN"	" "	"1"	"$14.95"	"$0.00"	"$0.00"	"$0.00"	"10-25-2006"	"08-29-2014"	"08-29-2014"	"Unknown"
"1440757712"	"2801440757718"	"Dragon Kiss [Library Edition]"	"Baker, E.D.,  Katherine Kellgren, (Narrator)"	"Used - Good"	"AUDIOBOOKS-CHILDREN"	" "	"1"	"$6.95"	"$0.25"	"$0.00"	"$0.00"	"12-11-2009"	"12-11-2009"	"01-01-0001"	"Unknown"
"0545133734"	"2800545133731"	"Hotel for Dogs"	"Duncan, Lois;  (Narrator) Katherine Kelligren"	"Used - Good"	"AUDIOBOOKS-CHILDREN"	" "	"1"	"$10.00"	"$0.00"	"$0.00"	"$0.00"	"05-16-2009"	"09-08-2014"	"07-06-2009"	"Unknown"
"0545209617"	"2800545209610"	"Glitter Girls and the Great Fake Out"	"Cabot, Meg; (Narrator) Tara Sands, (Narrator)"	"Used - Good"	"AUDIOBOOKS-CHILDREN"	" "	"1"	"$10.00"	"$0.00"	"$0.00"	"$0.00"	"04-19-2010"	"09-08-2014"	"05-25-2010"	"Unknown"
"0545093201"	"2800545093202"	"Ever"	"Levine, Gail Carson;  (Narrator) Jenna Lamia, (Narrator) Oliver Wyman"	"Used - Good"	"AUDIOBOOKS-CHILDREN"	" "	"1"	"$13.00"	"$0.00"	"$0.00"	"$0.00"	"05-06-2010"	"09-08-2014"	"08-05-2010"	"Unknown"
"1607883724"	"2801607883724"	"Prince of Mist"	"Zafon, Carlos Ruiz; (Narrator) Jonathan Davis"	"Used - Good"	"AUDIOBOOKS-CHILDREN"	" "	"1"	"$12.50"	"$0.25"	"$0.00"	"$0.00"	"05-24-2010"	"07-17-2013"	"08-11-2012"	"Unknown"
"0142429430"	"9914033539"	"Z. Raptor (Hunting)"	"Cole, Steve; (Narrator) Graeme Malcolm"	"Used - Good"	"AUDIOBOOKS-CHILDREN"	" "	"1"	"$10.00"	"$0.25"	"$0.00"	"$0.00"	"08-02-2011"	"11-14-2013"	"09-12-2011"	"Unknown"
"0307282678"	"2800307282677"	"Gregor and the Curse of the Warmbloods"	"Collins, Suzanne; (Narrator) Paul Boehmer"	"New"	"AUDIOBOOKS-CHILDREN"	" "	"1"	"$22.50"	"$0.25"	"$0.00"	"$0.00"	"12-23-2005"	"01-01-2014"	"10-22-2013"	"Unknown"
"0739301195"	"2800739301199"	"Lord of the Rings: The Two Towers (Full-Cast Dramatization)"	"Tolkien, J.R.R."	"New"	"AUDIOBOOKS-CHILDREN"	" "	"1"	"$10.00"	"$0.00"	"$0.00"	"$0.00"	"06-14-2002"	"07-25-2014"	"01-01-0001"	"Unknown"
