ID	Barcode	Title	Authors	Condition	Section	Location	On Hand	Price	Cost	Cash	Credit	First In	Last In	Last Sold	User
"0027624250"	"2800027624252"	"Macmillan Animal Encyclopedia for Children"	"Few, Roger"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$7.50"	"$0.00"	"$0.00"	"$0.00"	"01-30-2007"	"06-17-2014"	"11-19-2013"	"Unknown"
"0060289449"	"2800060289449"	"Horses"	"Simon, Seymour"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$9.00"	"$0.00"	"$0.00"	"$0.00"	"01-10-2006"	"08-29-2014"	"01-01-0001"	"Unknown"
"0060535989"	"2800060535980"	"Almost Gone: The World's Rarest Animals"	"Jenkins, Steve"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$8.49"	"$0.25"	"$0.00"	"$0.00"	"04-07-2006"	"09-07-2013"	"01-01-0001"	"Unknown"
"0061240354"	"2800061240357"	"Marley: A Dog Like No Other"	"Grogan, John"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$3.50"	"$0.00"	"$0.00"	"$0.00"	"03-12-2008"	"06-25-2014"	"12-22-2012"	"Unknown"
"0061449628"	"2800061449620"	"Home for Dixie: The True Story of a Rescued Puppy"	"Jackson, Emma; (Photography) Bob Carey"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$8.50"	"$0.00"	"$0.00"	"$0.00"	"04-09-2008"	"04-10-2014"	"07-05-2013"	"Unknown"
"0061575178"	"2800061575176"	"Where Do Polar Bears Live?"	"Thomson, Sarah L."	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$3.00"	"$0.00"	"$0.00"	"$0.00"	"03-18-2010"	"05-17-2014"	"04-13-2010"	"Unknown"
"006445150X"	"2800064451507"	"How Do Birds Find Their Way?"	"Gans, Roma"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$3.00"	"$0.00"	"$0.00"	"$0.00"	"06-04-2000"	"08-26-2014"	"01-01-0001"	"Unknown"
"0064451607"	"2800064451606"	"What Color is Camouflage?"	"Otto, Carolyn; (Illustrator) Megan Lloyd"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$3.00"	"$0.00"	"$0.00"	"$0.00"	"03-01-2008"	"07-11-2014"	"03-03-2013"	"Unknown"
"0064451763"	"2800064451767"	"Where Are the Night Animals?"	"Fraser, Mary Ann"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$3.00"	"$0.00"	"$0.00"	"$0.00"	"03-15-1999"	"05-11-2014"	"07-14-2014"	"Unknown"
"0064451879"	"2800064451873"	"Ducks Don't Get Wet"	"Goldin, Augusta"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$3.00"	"$0.00"	"$0.00"	"$0.00"	"01-03-2004"	"08-26-2014"	"01-01-0001"	"Unknown"
"0064451941"	"2800064451941"	"Big Tracks, Little Tracks: Following Animal Prints"	"Selsam, Millicent E."	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$3.00"	"$0.00"	"$0.00"	"$0.00"	"08-28-2001"	"08-26-2014"	"07-10-2014"	"Unknown"
"0064451984"	"2800064451989"	"Starfish"	"Hurd, Edith Thacher; (Ilustrator) Robin Brickman"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$3.00"	"$0.00"	"$0.00"	"$0.00"	"05-17-2000"	"08-26-2014"	"10-10-2009"	"Unknown"
"0064461866"	"2800064461865"	"My Visit to the Aquarium"	"Aliki"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$3.50"	"$0.00"	"$0.00"	"$0.00"	"01-04-1999"	"08-11-2014"	"12-04-2011"	"Unknown"
"0768320445"	"2800768320444"	"Where Do I Live?"	"World Wildlife Fund"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$6.00"	"$0.00"	"$0.00"	"$0.00"	"02-19-1999"	"05-19-2014"	"01-01-0001"	"Unknown"
"0786849614"	"2800786849613"	"Wonderful World of Animals (Disney Learning)"	"Moore, Donald"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$6.50"	"$0.00"	"$0.00"	"$0.00"	"06-01-2006"	"07-11-2014"	"09-08-2010"	"Unknown"
"0789457547"	"2800789457549"	"Amphibian (DK Eyewitness Books)"	"DK Eyewitness Books"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$6.00"	"$0.00"	"$0.00"	"$0.00"	"07-28-2001"	"06-20-2014"	"06-28-2010"	"Unknown"
"0789458268"	"2800789458263"	"Seashore"	"Parker, Steve"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$4.50"	"$0.00"	"$0.00"	"$0.00"	"08-04-2001"	"08-20-2014"	"06-20-2011"	"Unknown"
"0792271432"	"2800792271439"	"Destination: Polar Regions"	"Grupper, Jonathan"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$6.00"	"$0.25"	"$0.00"	"$0.00"	"09-22-1999"	"01-03-2014"	"01-01-0001"	"Unknown"
"0792271815"	"2800792271811"	"Sea Critters"	"Earle, Sylvia A.,  Wolcott Henry, (Illustrator)"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$4.00"	"$0.00"	"$0.00"	"$0.00"	"07-01-2000"	"08-14-2014"	"06-23-2010"	"Unknown"
"0805091823"	"2800805091825"	"Christian the Lion"	"Bourke, Anthony,  John Rendall"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$8.50"	"$0.00"	"$0.00"	"$0.00"	"07-27-2009"	"07-11-2014"	"06-19-2014"	"Unknown"
"0824918177"	"2800824918172"	"Leo: A Baby Lion's Story"	"Duey, Kathleen"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$6.00"	"$0.25"	"$0.00"	"$0.00"	"02-15-2010"	"12-27-2013"	"04-29-2012"	"Unknown"
"0836225228"	"2800836225220"	"Animal Athletes: Olympians of the Wild World"	"Lanting, Frans"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$7.50"	"$0.00"	"$0.00"	"$0.00"	"01-24-2000"	"07-11-2014"	"01-01-0001"	"Unknown"
"0870445596"	"2800870445592"	"Helping Our Animal Friends"	"Rinard, Judith E."	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$3.00"	"$0.00"	"$0.00"	"$0.00"	"07-26-2010"	"04-10-2014"	"01-01-0001"	"Unknown"
"0871569299"	"2800871569297"	"What is a Mammal?"	"Snedden, Robert"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$3.50"	"$0.25"	"$0.00"	"$0.00"	"06-17-1999"	"12-27-2013"	"04-21-2010"	"Unknown"
"0970887809"	"2800970887803"	"Dolphin Babies : Making a Splash"	"Sweeney, Diane"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$4.50"	"$0.00"	"$0.00"	"$0.00"	"04-02-2005"	"07-04-2014"	"01-01-0001"	"Unknown"
"1402739869"	"2801402739868"	"Slither and Crawl: Eye to Eye with 3eptiles"	"Arnosky, Jim"	"Used - Good"	"CHILDREN-ANIMALS"	" "	"1"	"$7.50"	"$0.25"	"$0.00"	"$0.00"	"11-12-2008"	"02-20-2014"	"07-21-2010"	"Unknown"
