ID	Barcode	Title	Authors	Publisher	Pub Date	Binding	Condition	Section	Location	Item Type Id	On Hand	Price	Cost	Cash	Credit	First In	Last In	Last Sold	Meta Tags	Keywords	User
"0002250616"	"2800002250612"	"Markets of Provence: A Culinary Tour of Southern France"	"Long, Dixon; (Recipes) Ruthanne Long; (Photography) David Wakely; (Foreword) Patricia Wells"	"Collins"	"April 1996"	"Hardcover"	"Used - Good"	"COOKING-FRENCH"	" "	"Unknown"	"1"	"$10.00"	"$0.00"	"$0.00"	"$0.00"	"07-15-1998"	"10-16-2014"	"10-09-2014"	""	""	"Unknown"
"0002550865"	"2800002550866"	"Best of France: A Cookbook"	"Righter, Evie,  Georgia Downard, Recipes"	"COLLINS"	"June 1992"	"Hardcover"	"Used - Good"	"COOKING-FRENCH"	" "	"Unknown"	"1"	"$5.00"	"$0.00"	"$0.00"	"$0.00"	"08-16-1999"	"07-21-2014"	"09-06-2014"	""	""	"Unknown"
"0002551543"	"2800002551542"	"Provence the Beautiful Cookbook : Authentic Recipes from the Regions of Provence"	"Olney, Richard;  Jacques Gantie, (Photographer) Peter Johnson,  (Photographer) Michael Freeman, (Stylist) Janice Baker"	"Collins"	"September 1993"	"Oversized Hardcover"	"Used - Good"	"COOKING-FRENCH"	" "	"Unknown"	"1"	"$10.00"	"$0.00"	"$0.00"	"$0.00"	"07-08-1998"	"09-04-2014"	"08-07-2014"	""	""	"Unknown"
"0028610091"	"2800028610094"	"French Chefs Cooking: Recipes and Stories from the Great Chefs of France"	"Buller, Michael; (Foreword) Paul Bocuse"	"IDG BOOKS"	"November 1999"	"Hardcover"	"Used - Good"	"COOKING-FRENCH"	" "	"Unknown"	"1"	"$7.50"	"$0.00"	"$0.00"	"$0.00"	"12-04-1999"	"09-30-2014"	"03-14-2013"	""	""	"Unknown"
"0060087714"	"2800060087717"	"French Food At Home"	"Calder, Laura"	"William Morrow"	"February 2003"	"Hardcover"	"Used - Good"	"COOKING-FRENCH"	" "	"Unknown"	"1"	"$12.50"	"$0.00"	"$0.00"	"$0.00"	"01-23-2003"	"10-07-2014"	"10-02-2014"	""	""	"Unknown"
"0061818763"	"2800061818761"	"The Alice B. Toklas Cook Book"	"Toklas, Alice B.; (Foreword) M.F.K. Fisher; (Illustrator) Francis Rose"	"Harper & Row, Publishers"	"November 1984"	"Hardcover"	"Used - Good"	"COOKING-FRENCH"	" "	"Unknown"	"1"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"10-30-1998"	"10-21-2014"	"07-03-2011"	""	""	"Unknown"
"0061968986"	"2320011607936"	"Specialites De La Maison"	"American Friends Of France"	"HARPERCOLLINS"	"April 2010"	"Hardcover"	"Used - Good"	"COOKING-FRENCH"	" "	"Unknown"	"1"	"$10.00"	"$0.00"	"$0.00"	"$0.00"	"04-29-2010"	"10-27-2014"	"09-30-2011"	""	""	"Unknown"
"0091808499"	"2800091808497"	"Cezanne: A Taste of Provence"	"Naudin, Jean- Bernard,  Gilles Plazy, (Text),  Jacqueline Saulnier, (Recipes),  Lydia Fasoli, (Stylists),  Louis Benzoni,  Alain Ducasse, (Preface),  Philippe Cezanne, (Foreword)"	"EBURY PRESS"	"January 1995"	"Hardcover"	"Used - Good"	"COOKING-FRENCH"	" "	"Unknown"	"1"	"$9.00"	"$0.00"	"$0.00"	"$0.00"	"11-15-2009"	"05-08-2014"	"11-05-2010"	""	""	"Unknown"
"0811825647"	"2800811825643"	"Saveur Cooks Authentic French: Rediscovering the Recipes, Traditions & Flavors of the World's Greatest Cuisine"	"Saveur Magazine"	"Chronicle Books"	"1999"	"Hardcover"	"Used - Good"	"COOKING-FRENCH"	" "	"Unknown"	"2"	"$20.00"	"$0.25"	"$0.00"	"$0.00"	"11-20-1999"	"01-24-2014"	"01-25-2014"	""	""	"Unknown"
"0811846466"	"2800811846464"	"Country Cooking of France"	"Willan, Anne; (Photography) France Ruffenach"	"CHRONICLE BOOKS"	"September 2007"	"Oversized Hardcover"	"Used - Good"	"COOKING-FRENCH"	" "	"Unknown"	"1"	"$25.00"	"$0.00"	"$0.00"	"$0.00"	"06-27-2007"	"06-06-2014"	"12-27-2013"	""	""	"Unknown"
