ID	Barcode	Title	Authors	Publisher	Pub Date	Binding	Condition	Section	Location	On Hand	Price	Cost	Cash	Credit	First In	Last In	Last Sold	Meta Tags	Keywords	User
"0029035910"	"2800029035919"	"The Causes of War (Third Edition)"	"Blainey, Geoffrey"	"The Free Press"	"October 1988"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$5.95"	"$0.25"	"$0.00"	"$0.00"	"04-17-1999"	"03-05-2014"	"06-09-2009"	""	""	"Unknown"
"0029057507"	"2800029057508"	"Atlas of Military Strategy"	"Chandler, David G."	"Free Press"	"December 1980"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$30.00"	"$0.00"	"$0.00"	"$0.00"	"07-10-1998"	"09-12-2014"	"06-21-2013"	""	""	"Unknown"
"0029060605"	"2320010292027"	"Military Misfortunes: The Anatomy of Failure in War"	"Cohen, Eliot A.; John Gooch"	"The Free Press"	"January 1990"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$11.50"	"$0.00"	"$0.00"	"$0.00"	"10-21-1999"	"10-29-2014"	"07-24-2014"	""	""	"Unknown"
"0029215811"	"2800029215816"	"For the Common Defense: A Military History of the United States"	"Millett, Allan R.; Peter Maslowski"	"Free Press"	"January 1994"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$14.00"	"$0.00"	"$0.00"	"$0.00"	"01-23-2003"	"06-13-2014"	"07-24-2014"	""	""	"Unknown"
"002921596X"	"2800029215960"	"Semper Fidelis: The History of the United States Marine Corps"	"Millett, Allan R."	"The Free Press"	"November 1991"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$11.00"	"$0.00"	"$0.00"	"$0.00"	"11-12-2007"	"06-09-2014"	"01-01-0001"	""	""	"Unknown"
"0029250951"	"2800029250954"	"War and the Rise of the State: The Military Foundations of Modern Politics"	"Porter, Bruce D."	"FREE PRESS"	"January 1994"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$7.50"	"$0.00"	"$0.00"	"$0.00"	"08-09-1999"	"10-10-2014"	"09-18-2009"	""	""	"Unknown"
"0030577772"	"2800030577774"	"The Nature of War"	"Keegan, John; Joseph Darracott"	"Holt, Rinehart and Winston"	"1981"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$17.50"	"$0.00"	"$0.00"	"$0.00"	"11-14-1999"	"08-28-2014"	"04-25-2009"	""	""	"Unknown"
"006009012X"	"2800060090120"	"How to Make War: A Comprehensive Guide to Modern Warfare in the 21st Century"	"Dunnigan, James F."	"Quill"	"April 2003"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$7.50"	"$0.00"	"$0.00"	"$0.00"	"04-30-2003"	"08-04-2014"	"02-19-2012"	""	""	"Unknown"
"0060166525"	"2320010615895"	"The French Foreign Legion: A Complete History of The Legendary Fighting Force"	"Porch, Douglas"	"HARPERCOLLINS"	"June 1991"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$9.00"	"$0.00"	"$0.00"	"$0.00"	"09-06-2001"	"08-14-2014"	"07-24-2014"	""	""	"Unknown"
"0060182660"	"2800060182665"	"A Fellowship of Valor: The Battle History of the United States Marines"	"Alexander, Joseph H.; Don Horan; Norman C. Stahl; (Foreword) Edwin H. Simmons"	"HarperCollinsPublishers"	"January 1997"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$7.50"	"$0.25"	"$0.00"	"$0.00"	"07-10-1998"	"09-19-2013"	"12-16-2013"	""	""	"Unknown"
"0060193174"	"2800060193173"	"DUTY FIRST : West Point and The Making of American Leaders"	"Ruggero, Ed"	"HARPERCOLLINS"	"February 2001"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$14.00"	"$0.25"	"$0.00"	"$0.00"	"01-05-2001"	"03-20-2014"	"10-23-2009"	""	""	"Unknown"
"0060541806"	"2800060541806"	"Day In the Life of the United States Armed Forces"	"Naythons, Matthew; Lewis J. Korman; Walter Cronkite"	"HARPERCOLLINS"	"May 2003"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"2"	"$20.00"	"$0.01"	"$0.00"	"$0.00"	"05-10-2003"	"04-04-2011"	"04-23-2011"	""	""	"Unknown"
"0060753625"	"2800060753629"	"Seize the Fire: Herosim, Duty, and Nelson's Battle of Trafalgar"	"Nicolson, Adam"	"Harper Perennial"	"September 2006"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$7.47"	"$0.00"	"$0.00"	"$0.00"	"10-02-2006"	"11-02-2014"	"04-24-2012"	""	""	"Unknown"
"0060819006"	"2800060819004"	"Jane's Submarines"	"Hutchinson, Robert"	"HARPERCOLLINS"	"November 2005"	"Oversized Paper Back"	"Used - Good"	"MILITARY"	" "	"1"	"$12.50"	"$0.00"	"$0.00"	"$0.00"	"07-26-2010"	"05-01-2014"	"03-01-2012"	""	""	"Unknown"
"0060838523"	"2800060838524"	"Roman Warfare"	"Goldsworthy, Andy"	"HarperCollins"	"September 2005"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$9.00"	"$0.00"	"$0.00"	"$0.00"	"07-20-2005"	"08-14-2014"	"12-03-2013"	""	""	"Unknown"
"0060838531"	"2800060838531"	"The Art of War: War and Military Thought"	"Van Creveld, Martin"	"HARPERCOLLINS"	"September 2005"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$9.00"	"$0.00"	"$0.00"	"$0.00"	"07-20-2005"	"07-01-2014"	"05-22-2013"	""	""	"Unknown"
"0060849959"	"2320011385896"	"WAR : A Photo History"	"Anderson, Duncan"	"HARPERCOLLINS"	"February 2006"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$12.47"	"$0.00"	"$0.00"	"$0.00"	"12-28-2007"	"04-07-2014"	"01-01-0001"	""	""	"Unknown"
"0060849975"	"2800060849971"	"Collins Atlas of Military History"	"Smithsonian"	"HARPERCOLLINS"	"June 2006"	"Oversized Paper Back"	"Used - Good"	"MILITARY"	" "	"1"	"$10.00"	"$0.00"	"$0.00"	"$0.00"	"08-14-2006"	"08-03-2014"	"01-01-0001"	""	""	"Unknown"
"0060888601"	"2800060888604"	"Awol: The Unexcused Absence of America's Upper Classes from Military Service--and How It Hurts Our Country"	"Roth-Douquet, Kathy,  Frank Schaeffer"	"HARPERCOLLINS"	"May 2007"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$7.00"	"$0.00"	"$0.00"	"$0.00"	"05-01-2007"	"06-10-2014"	"08-28-2012"	""	""	"Unknown"
"0061236209"	"2800061236206"	"Violent Politics: A History of Insurgency, Terrorism & Guerrilla War from the American Revolution to Iraq, Updated & Expanded"	"Polk, William R."	"Harper Perennial"	"December 2008"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"2"	"$7.50"	"$0.00"	"$0.00"	"$0.00"	"12-07-2008"	"09-30-2014"	"04-03-2009"	""	""	"Unknown"
"0061240478"	"2800061240470"	"One Day the Soldiers Came: Voices of Children In War"	"London, Charles"	"HarperPerennial"	"October 2007"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$7.50"	"$0.25"	"$0.00"	"$0.00"	"09-29-2007"	"01-13-2014"	"07-21-2014"	""	""	"Unknown"
"0061812358"	"2800061812356"	"The Encyclopedia of Military History from 3500 B.C. to the Present, Second Revised Edition"	"Dupuy, R. Ernest; Trevor N. Dupuy"	"Harper & Row, Publishers"	"May 1986"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$25.00"	"$0.00"	"$0.00"	"$0.00"	"07-12-1998"	"06-03-2014"	"10-26-2014"	""	""	"Unknown"
"0070252971"	"2800070252976"	"March to Massacre: A History of the First Seven Years of the United States Army, 1784-1791"	"Guthman, William H."	"McGraw-Hill Book Company"	"January 1974"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$20.00"	"$0.00"	"$0.00"	"$0.00"	"10-29-2007"	"09-04-2014"	"02-17-2013"	""	""	"Unknown"
"0080367356"	"2800080367356"	"Air Campaign: Planning for Combat"	"Warden, John A."	"PERGAMON PRESS INC"	"October 1989"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$9.50"	"$0.00"	"$0.00"	"$0.00"	"10-10-1999"	"05-12-2014"	"01-01-0001"	""	""	"Unknown"
"0080413188"	"2800080413183"	"Urquhart of Arnhem : the Life of Major General Re Urquhart Cb, Dso"	"Baynes, John"	"PERGAMON PRESS INC"	"September 1993"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$20.00"	"$0.00"	"$0.00"	"$0.00"	"09-17-2001"	"07-30-2014"	"01-01-0001"	""	""	"Unknown"
"013209875X"	"2800132098757"	"Words on War: Military Quotations from Ancient Times to the Present"	"Shafritz, Jay M."	"Prentice Hall"	"July 1990"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"08-21-2000"	"07-18-2014"	"08-22-2012"	""	""	"Unknown"
"0134508173"	"2800134508179"	"The Illustrated Encyclopedia of Miltary Vehicles"	"Hogg, Ian V.,  John Weeks"	"Prentice-Hall Inc"	"January 1980"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"02-24-2001"	"04-19-2014"	"10-08-2009"	""	""	"Unknown"
"0135978564"	"2800135978568"	"Modern Soviet Armor: Combat Vehicles of the Ussr and Warsaw Pact Today"	"Zaloga, Steven J."	"PRENTICE-HALL, INC."	"January 1979"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$9.00"	"$0.00"	"$0.00"	"$0.00"	"05-12-2006"	"05-24-2014"	"10-24-2010"	""	""	"Unknown"
"0140114068"	"2800140114067"	"The Mask of Command"	"Keegan, John"	"Penguin Books"	"January 1989"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$5.95"	"$0.00"	"$0.00"	"$0.00"	"06-11-1999"	"10-23-2014"	"08-11-2014"	""	""	"Unknown"
"0773726926"	"2800773726927"	"Price of Command: A Biography of Guy Simonds"	"Graham, Dominick"	"STODDART"	"May 1994"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"11-21-2002"	"07-30-2014"	"01-01-0001"	""	""	"Unknown"
"0785816798"	"2800785816791"	"Military Mavericks"	"Rooney, David"	"CASTLE BOOKS"	"September 2003"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$7.50"	"$0.25"	"$0.00"	"$0.00"	"04-23-2005"	"02-08-2014"	"03-25-2012"	""	""	"Unknown"
"0786707151"	"2800786707159"	"Military Intelligence Blunders"	"Hughes-Wilson, John"	"CARROLL & GRAF"	"February 2000"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$6.00"	"$0.00"	"$0.00"	"$0.00"	"07-06-2010"	"10-27-2014"	"09-19-2010"	""	""	"Unknown"
"0786865563"	"2800786865569"	"Days of Infamy: Military Blunders of the 20th Century"	"Coffey, Michael"	"Hyperion"	"August 1999"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$12.50"	"$0.25"	"$0.00"	"$0.00"	"07-24-1999"	"02-03-2014"	"07-24-2014"	""	""	"Unknown"
"0786884703"	"2800786884706"	"Great Blunders of the 20th Century"	"Coffey, Michael"	"HYPERION"	"September 2000"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$7.50"	"$0.00"	"$0.00"	"$0.00"	"08-12-2000"	"09-10-2014"	"01-01-0001"	""	""	"Unknown"
"0789210312"	"2800789210311"	"Military Father: A Hands-on Guide for Deployed Dads"	"Brott, Armin A."	"ABBEVILLE PRESS PUBLISHERS"	"June 2009"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$6.47"	"$0.00"	"$0.00"	"$0.00"	"06-24-2009"	"04-09-2014"	"07-02-2009"	""	""	"Unknown"
"0792450825"	"2800792450827"	"American Medals and Decorations"	"Kerrigan, Evans"	"MALLARD PRESS"	"November 1991"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$7.50"	"$0.00"	"$0.00"	"$0.00"	"10-21-2005"	"08-01-2014"	"08-27-2011"	""	""	"Unknown"
"0801431344"	"2800801431342"	"Bombing to Win: Air Power and Coercion in War"	"Pape, Robert Anthony"	"CORNELL UNIV PRESS"	"April 1996"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$15.00"	"$0.25"	"$0.00"	"$0.00"	"07-26-2010"	"02-10-2014"	"01-01-0001"	""	""	"Unknown"
"0801434580"	"2800801434589"	"Fast Tanks and Heavy Bombers: Innovation in the U.S. Army, 1917-1945 (Cornell Studies in Security Affairs)"	"Johnson, David E."	"Cornell University Press"	"December 1998"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$40.00"	"$0.25"	"$0.00"	"$0.00"	"07-26-2010"	"01-23-2014"	"01-01-0001"	""	""	"Unknown"
"0801441145"	"2800801441143"	"Corporate Warriors: The Rise of the Privatized Military Industry"	"Singer, P. W."	"CORNELL UNIV PRESS"	"August 2003"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"2"	"$10.00"	"$0.25"	"$0.00"	"$0.00"	"07-01-2003"	"12-02-2013"	"04-30-2009"	""	""	"Unknown"
"0801474361"	"2800801474363"	"Corporate Warriors: The Rise of the Privatized Military Industry"	"Singer, P.W."	"CORNELL UNIV PRESS"	"November 2007"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$10.00"	"$0.00"	"$0.00"	"$0.00"	"11-17-2009"	"08-08-2014"	"06-02-2014"	""	""	"Unknown"
"0801483115"	"2800801483112"	"Bombing to Win: Air Power and Coercion in War"	"Pape, Robert A."	"Cornell University Press"	"April 1996"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$11.50"	"$0.25"	"$0.00"	"$0.00"	"11-01-2009"	"03-24-2014"	"10-12-2013"	""	""	"Unknown"
"080150614X"	"2800801506149"	"Bicycles In War"	"Caidin, Martin"	"HAWTHORN BOOKS, INC."	"January 1974"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$10.00"	"$0.00"	"$0.00"	"$0.00"	"07-26-2004"	"07-26-2014"	"11-30-2011"	""	""	"Unknown"
"0802117074"	"2800802117078"	"Dressing Station : A Surgeon's Chronicle of War and Medicine"	"Kaplan, Jonathan"	"Grove Press "	"January 2002"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$12.50"	"$0.00"	"$0.00"	"$0.00"	"01-11-2002"	"05-09-2014"	"09-22-2014"	""	""	"Unknown"
"0802141722"	"2800802141721"	"The New Great Game: Blood and Oil In Central Asia"	"Kleveman, Lutz"	"Grove Press"	"August 2004"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$7.50"	"$0.25"	"$0.00"	"$0.00"	"08-17-2004"	"01-22-2014"	"07-09-2012"	""	""	"Unknown"
"0802714536"	"2320011404252"	"Battle : A New History of Waterloo"	"Barbero, Alessandro"	"WALKER & COMPANY"	"July 2005"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$14.00"	"$0.25"	"$0.00"	"$0.00"	"04-09-2010"	"03-05-2014"	"07-11-2014"	""	""	"Unknown"
"0803237332"	"2800803237331"	"Arabs At War: Military Effectiveness, 1948-1991"	"Pollack, Kenneth M."	"NEBRASKA"	"October 2002"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$25.00"	"$0.00"	"$0.00"	"$0.00"	"09-14-2002"	"08-02-2014"	"02-17-2014"	""	""	"Unknown"
"0803251513"	"2800803251511"	"Broadax and Bayonet: The Role of the United States Army in the Development of the Northwest, 1815-1860"	"Prucha, Francis Paul; (Introduction) Edward M. Coffman"	"UNIVERSITY OF NEBRASKA PRESS"	"August 1995"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$6.00"	"$0.00"	"$0.00"	"$0.00"	"07-26-2010"	"07-14-2014"	"01-01-0001"	""	""	"Unknown"
"080326366X"	"2800803263668"	"Small Wars: Their Principles & Practice (Third Edition)"	"Callwell, C.E.; ((Introduction) Douglas Porch"	"UNIVERSITY OF NEBRASKA PRESS"	"April 1996"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"11-09-2008"	"10-20-2014"	"08-25-2011"	""	""	"Unknown"
"0805004416"	"2800805004412"	"Dictionary of Battles: The World's Key Battles from 405 Bc to Today"	"Chandler, David , (Editor)"	"HENRY HOLT"	"March 1988"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$12.50"	"$0.00"	"$0.00"	"$0.00"	"08-22-1999"	"06-03-2014"	"03-02-2010"	""	""	"Unknown"
"0805033912"	"2800805033917"	"West Point Atlas of American Wars, (V1) Volume I: 1689-1900"	"Esposito, Vincent J., (Chief Editor),  Dwight D. Eisenhower, (Prefatory Letter),  John R. Galvin, (Foreword)"	"HENRY HOLT AND COMPANY"	"August 1995"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$37.50"	"$0.00"	"$0.00"	"$0.00"	"04-28-1999"	"10-21-2014"	"01-01-0001"	""	""	"Unknown"
"0805050779"	"2800805050778"	"Blood Rites: Origins and History of the Passions of War"	"Ehrenreich, Barbara"	"Henry Holt"	"May 1997"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$12.50"	"$0.00"	"$0.00"	"$0.00"	"04-15-1998"	"09-18-2014"	"06-02-2014"	""	""	"Unknown"
"0805055193"	"2800805055193"	"The Warrior's Honor: Ethnic War and the Modern Conscience"	"Ignatieff, Michael"	"HENRY HOLT"	"October 1998"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$6.50"	"$0.00"	"$0.00"	"$0.00"	"09-09-1998"	"07-30-2014"	"09-22-2011"	""	""	"Unknown"
"0805062912"	"2800805062917"	"The Long Gray Line: The American Journey of West Point's Class of 1966"	"Atkinson, Rick"	"Owl Books / Henry Holt and Company"	"October 1999"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$8.00"	"$0.00"	"$0.00"	"$0.00"	"08-28-1999"	"09-15-2014"	"02-17-2014"	""	""	"Unknown"
"0805089195"	"2800805089198"	"The Complex: How the Military Invades Our Everyday Lives"	"Turse, Nick"	"Metropolitan Books / Henry Holt and Company"	"March 2009"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$8.00"	"$0.00"	"$0.00"	"$0.00"	"01-20-2009"	"10-09-2014"	"12-15-2010"	""	""	"Unknown"
"0806504412"	"2800806504416"	"A History of Artillery"	"Rogers, H.C.B."	"The Citadel Press"	"June 1975"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"2"	"$17.50"	"$0.00"	"$0.00"	"$0.00"	"12-21-2000"	"05-29-2014"	"09-09-2011"	""	""	"Unknown"
"0806528044"	"2800806528047"	"Six Minutes to Freedom"	"Muse, Kurt"	"Citadel Press"	"June 2007"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$8.00"	"$0.00"	"$0.00"	"$0.00"	"04-03-2008"	"04-13-2014"	"01-01-0001"	""	""	"Unknown"
"0806983086"	"2800806983082"	"The United States Infantry: An Illustrated History 1775-1918"	"Urwin, Gragory J. W.; (Illustrator) Darby Erd"	"Sterling Publishing Co., Inc."	"March 1991"	"Oversized Paper Back"	"Used - Good"	"MILITARY"	" "	"1"	"$7.50"	"$0.00"	"$0.00"	"$0.00"	"12-01-2008"	"09-04-2014"	"03-30-2013"	""	""	"Unknown"
